date,datetime,cash_type,card,money,coffee_name
3/9/2024,13:03.5,card,ANON-0000-0000-0040,28.9,Americano
3/9/2024,14:26.5,card,ANON-0000-0000-0040,28.9,Americano
3/9/2024,09:22.2,card,ANON-0000-0000-0041,38.7,Latte
3/9/2024,41:06.2,card,ANON-0000-0000-0042,33.8,Americano with Milk
3/9/2024,53:10.4,card,ANON-0000-0000-0043,28.9,Cortado
3/9/2024,54:36.8,card,ANON-0000-0000-0043,38.7,Cappuccino
3/9/2024,08:01.8,card,ANON-0000-0000-0009,33.8,Americano with Milk
3/9/2024,26:52.9,card,ANON-0000-0000-0044,38.7,Hot Chocolate
3/9/2024,17:57.6,card,ANON-0000-0000-0009,38.7,Cappuccino
3/9/2024,19:10.1,card,ANON-0000-0000-0009,38.7,Hot Chocolate
3/10/2024,44:18.5,cash,,30.0,Americano
3/10/2024,45:29.4,cash,,35.0,Americano with Milk
3/10/2024,06:03.0,cash,,40.0,Latte
3/10/2024,19:20.8,card,ANON-0000-0000-0045,24.0,Espresso
3/10/2024,51:03.0,cash,,35.0,Americano with Milk
3/10/2024,34:00.5,card,ANON-0000-0000-0046,38.7,Latte
3/10/2024,35:54.7,card,ANON-0000-0000-0046,28.9,Cortado
3/11/2024,18:46.7,cash,,40.0,Latte
3/11/2024,24:15.0,cash,,40.0,Cappuccino
3/11/2024,24:51.6,cash,,30.0,Cortado
3/11/2024,26:44.2,cash,,30.0,Americano
3/11/2024,32:58.8,card,ANON-0000-0000-0035,38.7,Cappuccino
3/11/2024,24:26.4,card,ANON-0000-0000-0047,28.9,Americano
3/11/2024,25:45.7,card,ANON-0000-0000-0047,38.7,Latte
3/11/2024,50:49.6,card,ANON-0000-0000-0048,28.9,Cortado
3/12/2024,15:00.3,cash,,40.0,Latte
3/12/2024,15:34.5,card,ANON-0000-0000-0033,28.9,Americano
3/12/2024,16:24.9,card,ANON-0000-0000-0033,28.9,Cortado
3/12/2024,20:45.6,card,ANON-0000-0000-0049,38.7,Hot Chocolate
3/12/2024,46:23.3,card,ANON-0000-0000-0004,33.8,Americano with Milk
3/12/2024,47:26.0,card,ANON-0000-0000-0004,28.9,Americano
3/12/2024,15:43.3,card,ANON-0000-0000-0050,28.9,Americano
3/13/2024,06:43.0,card,ANON-0000-0000-0048,38.7,Hot Chocolate
3/13/2024,48:16.8,card,ANON-0000-0000-0004,28.9,Americano
3/13/2024,18:06.3,card,ANON-0000-0000-0051,28.9,Americano
3/13/2024,19:05.1,card,ANON-0000-0000-0051,28.9,Americano
3/13/2024,34:30.3,cash,,25.0,Espresso
3/13/2024,26:40.9,card,ANON-0000-0000-0052,33.8,Americano with Milk
3/13/2024,40:22.3,card,ANON-0000-0000-0053,24.0,Espresso
3/13/2024,41:20.4,card,ANON-0000-0000-0053,24.0,Espresso
3/13/2024,47:09.4,card,ANON-0000-0000-0054,24.0,Espresso
3/14/2024,02:12.2,cash,,40.0,Latte
3/14/2024,28:33.0,card,ANON-0000-0000-0055,38.7,Latte
3/14/2024,29:34.3,card,ANON-0000-0000-0055,38.7,Hot Chocolate
3/14/2024,27:29.5,card,ANON-0000-0000-0012,28.9,Cortado
3/14/2024,28:24.5,card,ANON-0000-0000-0012,28.9,Americano
3/14/2024,51:59.9,card,ANON-0000-0000-0056,33.8,Americano with Milk
3/14/2024,52:56.2,card,ANON-0000-0000-0057,24.0,Espresso
3/14/2024,20:38.4,card,ANON-0000-0000-0058,38.7,Latte
3/14/2024,04:09.5,card,ANON-0000-0000-0059,33.8,Americano with Milk
3/14/2024,54:38.2,card,ANON-0000-0000-0050,24.0,Espresso
3/14/2024,58:55.9,card,ANON-0000-0000-0019,38.7,Hot Chocolate
3/14/2024,00:08.7,card,ANON-0000-0000-0012,28.9,Cortado
3/15/2024,02:16.5,cash,,40.0,Latte
3/15/2024,53:02.2,card,ANON-0000-0000-0060,38.7,Hot Chocolate
3/15/2024,19:27.9,card,ANON-0000-0000-0012,28.9,Americano
3/16/2024,06:55.2,card,ANON-0000-0000-0061,33.8,Americano with Milk
3/16/2024,07:53.9,card,ANON-0000-0000-0061,28.9,Americano
3/16/2024,58:18.5,card,ANON-0000-0000-0009,28.9,Cortado
3/16/2024,03:21.7,card,ANON-0000-0000-0009,28.9,Cortado
3/16/2024,04:11.4,card,ANON-0000-0000-0012,28.9,Cortado
3/16/2024,58:07.2,card,ANON-0000-0000-0062,33.8,Americano with Milk
3/17/2024,10:21.4,cash,,40.0,Latte
3/17/2024,55:26.1,card,ANON-0000-0000-0063,28.9,Cortado
3/18/2024,17:59.7,card,ANON-0000-0000-0064,28.9,Cortado
3/18/2024,31:39.7,card,ANON-0000-0000-0003,28.9,Americano
3/18/2024,32:38.2,card,ANON-0000-0000-0003,28.9,Americano
3/18/2024,33:36.7,card,ANON-0000-0000-0003,28.9,Americano
3/19/2024,20:26.0,cash,,30.0,Cortado
3/19/2024,02:21.5,card,ANON-0000-0000-0065,38.7,Latte
3/19/2024,03:19.8,card,ANON-0000-0000-0065,38.7,Latte
3/19/2024,04:36.3,card,ANON-0000-0000-0049,38.7,Hot Chocolate
3/19/2024,53:48.7,card,ANON-0000-0000-0066,33.8,Americano with Milk
3/19/2024,26:32.7,cash,,40.0,Hot Chocolate
3/20/2024,41:16.4,card,ANON-0000-0000-0012,28.9,Cortado
3/20/2024,21:07.7,cash,,40.0,Latte
3/20/2024,30:49.0,card,ANON-0000-0000-0049,28.9,Cortado
3/20/2024,16:47.4,card,ANON-0000-0000-0067,38.7,Cappuccino
3/20/2024,42:38.1,card,ANON-0000-0000-0050,38.7,Cocoa
3/20/2024,50:28.8,card,ANON-0000-0000-0068,38.7,Latte
3/21/2024,18:57.0,cash,,40.0,Cappuccino
3/21/2024,25:09.2,card,ANON-0000-0000-0012,28.9,Cortado
3/21/2024,26:17.4,card,ANON-0000-0000-0012,38.7,Cappuccino
3/21/2024,21:01.5,cash,,30.0,Americano
3/21/2024,22:01.4,card,ANON-0000-0000-0012,28.9,Cortado
3/21/2024,20:36.5,card,ANON-0000-0000-0069,38.7,Latte
3/22/2024,35:53.6,card,ANON-0000-0000-0070,33.8,Americano with Milk
3/22/2024,29:20.3,card,ANON-0000-0000-0071,33.8,Americano with Milk
3/22/2024,15:14.4,cash,,40.0,Cappuccino
3/22/2024,17:03.7,card,ANON-0000-0000-0012,28.9,Americano
3/22/2024,17:59.0,card,ANON-0000-0000-0012,24.0,Espresso
3/22/2024,20:49.5,card,ANON-0000-0000-0050,28.9,Americano
3/23/2024,43:59.6,card,ANON-0000-0000-0072,38.7,Latte
3/23/2024,45:07.2,card,ANON-0000-0000-0073,33.8,Americano with Milk
3/23/2024,10:07.7,card,ANON-0000-0000-0074,38.7,Cappuccino
3/23/2024,11:12.2,card,ANON-0000-0000-0074,38.7,Cocoa
3/23/2024,44:41.3,card,ANON-0000-0000-0075,33.8,Americano with Milk
3/23/2024,47:19.1,card,ANON-0000-0000-0076,38.7,Latte
3/23/2024,49:33.8,card,ANON-0000-0000-0076,33.8,Americano with Milk
3/23/2024,00:58.4,card,ANON-0000-0000-0009,28.9,Cortado
3/24/2024,03:56.0,cash,,40.0,Latte
3/24/2024,45:08.4,card,ANON-0000-0000-0077,38.7,Latte
3/25/2024,31:47.2,card,ANON-0000-0000-0009,38.7,Latte
3/25/2024,16:25.7,cash,,35.0,Americano with Milk
3/25/2024,27:09.2,card,ANON-0000-0000-0078,38.7,Latte
3/25/2024,29:25.3,card,ANON-0000-0000-0017,38.7,Latte
3/25/2024,37:30.6,card,ANON-0000-0000-0024,33.8,Americano with Milk
3/25/2024,34:24.5,card,ANON-0000-0000-0079,38.7,Cappuccino
3/26/2024,35:49.7,card,ANON-0000-0000-0055,38.7,Cocoa
3/26/2024,36:36.2,card,ANON-0000-0000-0055,38.7,Latte
3/26/2024,42:30.2,card,ANON-0000-0000-0080,38.7,Latte
3/26/2024,11:47.3,card,ANON-0000-0000-0009,28.9,Cortado
3/26/2024,35:52.8,card,ANON-0000-0000-0003,28.9,Americano
3/26/2024,36:49.6,card,ANON-0000-0000-0032,28.9,Cortado
3/26/2024,37:59.7,card,ANON-0000-0000-0059,28.9,Cortado
3/26/2024,57:53.7,card,ANON-0000-0000-0050,28.9,Americano
3/26/2024,48:02.3,card,ANON-0000-0000-0081,38.7,Latte
3/26/2024,33:38.6,card,ANON-0000-0000-0024,38.7,Latte
3/26/2024,34:54.6,card,ANON-0000-0000-0009,38.7,Hot Chocolate
3/27/2024,04:51.2,card,ANON-0000-0000-0003,28.9,Cortado
3/27/2024,05:58.2,card,ANON-0000-0000-0003,33.8,Americano with Milk
3/27/2024,57:00.5,card,ANON-0000-0000-0082,33.8,Americano with Milk
3/27/2024,35:20.0,card,ANON-0000-0000-0083,38.7,Hot Chocolate
3/27/2024,22:31.7,card,ANON-0000-0000-0012,38.7,Cappuccino
3/27/2024,23:35.4,card,ANON-0000-0000-0012,28.9,Americano
3/27/2024,30:11.8,card,ANON-0000-0000-0084,28.9,Cortado
3/27/2024,31:12.4,cash,,40.0,Latte
3/28/2024,24:47.1,card,ANON-0000-0000-0085,28.9,Cortado
3/28/2024,24:46.2,card,ANON-0000-0000-0012,28.9,Cortado
3/28/2024,27:05.3,card,ANON-0000-0000-0012,28.9,Americano
3/28/2024,32:44.7,card,ANON-0000-0000-0086,38.7,Latte
3/29/2024,56:19.5,card,ANON-0000-0000-0087,38.7,Latte
3/29/2024,34:17.4,card,ANON-0000-0000-0088,38.7,Cappuccino
3/29/2024,41:32.1,card,ANON-0000-0000-0088,38.7,Cappuccino
3/29/2024,22:44.6,cash,,40.0,Cappuccino
3/30/2024,59:19.9,card,ANON-0000-0000-0069,38.7,Latte
3/30/2024,49:25.8,cash,,40.0,Cappuccino
3/30/2024,12:31.8,card,ANON-0000-0000-0017,38.7,Latte
3/30/2024,36:40.5,card,ANON-0000-0000-0009,38.7,Latte
3/30/2024,37:57.6,card,ANON-0000-0000-0009,33.8,Americano with Milk
3/31/2024,40:04.5,card,ANON-0000-0000-0089,38.7,Cappuccino
3/31/2024,36:45.0,cash,,30.0,Americano
4/1/2024,28:47.6,card,ANON-0000-0000-0004,28.9,Americano
4/1/2024,29:42.3,card,ANON-0000-0000-0004,33.8,Americano with Milk
4/1/2024,30:43.7,card,ANON-0000-0000-0004,33.8,Americano with Milk
4/1/2024,15:43.8,card,ANON-0000-0000-0009,33.8,Americano with Milk
4/1/2024,01:42.9,cash,,40.0,Cappuccino
4/1/2024,18:42.4,card,ANON-0000-0000-0024,33.8,Americano with Milk
4/1/2024,45:27.4,card,ANON-0000-0000-0090,38.7,Hot Chocolate
4/2/2024,01:14.0,card,ANON-0000-0000-0001,38.7,Latte
4/2/2024,18:34.2,card,ANON-0000-0000-0003,28.9,Americano
4/2/2024,19:28.5,card,ANON-0000-0000-0003,28.9,Cortado
4/2/2024,59:31.9,cash,,40.0,Cappuccino
4/3/2024,19:13.6,card,ANON-0000-0000-0003,28.9,Cortado
4/3/2024,20:07.7,card,ANON-0000-0000-0003,28.9,Americano
4/3/2024,12:05.4,card,ANON-0000-0000-0012,38.7,Cappuccino
4/3/2024,36:11.7,cash,,30.0,Cortado
4/4/2024,44:56.0,card,ANON-0000-0000-0091,38.7,Latte
4/4/2024,26:38.1,card,ANON-0000-0000-0092,38.7,Latte
4/4/2024,27:48.4,card,ANON-0000-0000-0093,38.7,Cappuccino
4/4/2024,23:02.2,card,ANON-0000-0000-0094,28.9,Cortado
4/4/2024,42:07.7,cash,,40.0,Latte
4/5/2024,40:42.7,card,ANON-0000-0000-0095,28.9,Americano
4/5/2024,42:06.2,card,ANON-0000-0000-0012,28.9,Americano
4/5/2024,06:14.6,card,ANON-0000-0000-0096,28.9,Cortado
4/5/2024,14:28.0,card,ANON-0000-0000-0097,33.8,Americano with Milk
4/5/2024,23:40.4,card,ANON-0000-0000-0098,38.7,Latte
4/5/2024,24:50.4,card,ANON-0000-0000-0098,28.9,Cortado
4/5/2024,30:50.4,cash,,40.0,Latte
4/5/2024,54:15.8,cash,,40.0,Cappuccino
4/5/2024,55:30.9,cash,,30.0,Americano
4/5/2024,17:44.0,cash,,40.0,Cocoa
4/5/2024,18:23.6,card,ANON-0000-0000-0003,24.0,Espresso
4/6/2024,32:31.4,card,ANON-0000-0000-0099,33.8,Americano with Milk
4/6/2024,13:18.7,card,ANON-0000-0000-0040,38.7,Cappuccino
4/6/2024,14:27.0,card,ANON-0000-0000-0040,28.9,Americano
4/6/2024,49:50.2,card,ANON-0000-0000-0009,38.7,Latte
4/7/2024,12:53.2,card,ANON-0000-0000-0091,38.7,Latte
4/7/2024,44:31.9,card,ANON-0000-0000-0040,38.7,Cappuccino
4/7/2024,46:05.1,card,ANON-0000-0000-0040,38.7,Cappuccino
4/7/2024,16:24.9,card,ANON-0000-0000-0100,28.9,Cortado
4/7/2024,17:30.6,card,ANON-0000-0000-0100,24.0,Espresso
4/7/2024,01:16.6,card,ANON-0000-0000-0101,38.7,Hot Chocolate
4/7/2024,02:03.9,card,ANON-0000-0000-0101,33.8,Americano with Milk
4/8/2024,58:21.1,card,ANON-0000-0000-0102,33.8,Americano with Milk
4/8/2024,59:27.6,card,ANON-0000-0000-0103,38.7,Cappuccino
4/8/2024,01:20.5,card,ANON-0000-0000-0012,28.9,Americano
4/8/2024,04:47.0,card,ANON-0000-0000-0104,38.7,Cappuccino
4/8/2024,54:25.9,cash,,25.0,Espresso
4/8/2024,43:36.9,cash,,35.0,Americano with Milk
4/8/2024,41:37.8,card,ANON-0000-0000-0017,38.7,Latte
4/8/2024,18:09.7,card,ANON-0000-0000-0105,28.9,Americano
4/8/2024,22:27.5,card,ANON-0000-0000-0024,33.8,Americano with Milk
4/8/2024,23:59.3,card,ANON-0000-0000-0106,38.7,Cappuccino
4/9/2024,22:27.4,cash,,40.0,Cappuccino
4/9/2024,24:10.1,cash,,30.0,Americano
4/9/2024,42:28.5,card,ANON-0000-0000-0091,38.7,Latte
4/9/2024,11:48.7,card,ANON-0000-0000-0107,38.7,Hot Chocolate
4/9/2024,25:23.9,card,ANON-0000-0000-0049,38.7,Hot Chocolate
4/10/2024,21:26.2,cash,,25.0,Espresso
4/10/2024,55:07.0,cash,,40.0,Hot Chocolate
4/10/2024,55:31.2,card,ANON-0000-0000-0108,24.0,Espresso
4/10/2024,24:59.3,card,ANON-0000-0000-0009,38.7,Cappuccino
4/10/2024,04:05.4,card,ANON-0000-0000-0109,38.7,Latte
4/11/2024,41:23.2,card,ANON-0000-0000-0110,28.9,Americano
4/11/2024,42:59.4,card,ANON-0000-0000-0110,28.9,Americano
4/11/2024,35:23.1,card,ANON-0000-0000-0017,38.7,Latte
4/11/2024,16:56.6,card,ANON-0000-0000-0106,38.7,Cappuccino
4/11/2024,18:36.6,card,ANON-0000-0000-0024,33.8,Americano with Milk
4/12/2024,03:43.4,card,ANON-0000-0000-0019,38.7,Hot Chocolate
4/12/2024,38:23.2,card,ANON-0000-0000-0009,28.9,Cortado
4/13/2024,29:19.8,card,ANON-0000-0000-0009,38.7,Latte
4/13/2024,43:02.4,card,ANON-0000-0000-0012,28.9,Americano
4/13/2024,06:52.3,cash,,40.0,Hot Chocolate
4/13/2024,07:56.0,cash,,40.0,Hot Chocolate
4/13/2024,18:03.9,card,ANON-0000-0000-0111,38.7,Cappuccino
4/13/2024,19:39.8,card,ANON-0000-0000-0111,38.7,Latte
4/13/2024,51:26.0,card,ANON-0000-0000-0112,38.7,Cappuccino
4/13/2024,53:19.2,card,ANON-0000-0000-0012,38.7,Cappuccino
4/14/2024,55:27.4,cash,,40.0,Latte
4/14/2024,24:39.0,card,ANON-0000-0000-0113,38.7,Cappuccino
4/14/2024,27:09.0,cash,,30.0,Cortado
4/14/2024,29:06.9,cash,,30.0,Cortado
4/14/2024,31:36.0,cash,,35.0,Americano with Milk
4/14/2024,21:49.8,card,ANON-0000-0000-0114,28.9,Cortado
4/14/2024,23:31.6,card,ANON-0000-0000-0012,28.9,Americano
4/14/2024,24:26.9,card,ANON-0000-0000-0012,28.9,Americano
4/14/2024,25:18.1,card,ANON-0000-0000-0012,28.9,Americano
4/14/2024,46:27.7,card,ANON-0000-0000-0017,38.7,Cappuccino
4/14/2024,59:54.8,card,ANON-0000-0000-0012,28.9,Cortado
4/14/2024,00:45.4,card,ANON-0000-0000-0019,38.7,Latte
4/14/2024,38:19.6,card,ANON-0000-0000-0115,38.7,Cappuccino
4/15/2024,45:24.6,card,ANON-0000-0000-0064,28.9,Americano
4/15/2024,01:46.4,card,ANON-0000-0000-0003,28.9,Americano
4/15/2024,02:49.7,card,ANON-0000-0000-0004,33.8,Americano with Milk
4/15/2024,33:03.0,card,ANON-0000-0000-0009,33.8,Americano with Milk
4/15/2024,41:58.1,cash,,25.0,Espresso
4/16/2024,43:49.9,cash,,35.0,Americano with Milk
4/16/2024,46:25.7,card,ANON-0000-0000-0116,33.8,Americano with Milk
4/16/2024,40:47.7,card,ANON-0000-0000-0117,38.7,Cocoa
4/16/2024,52:07.7,card,ANON-0000-0000-0064,28.9,Cortado
4/16/2024,03:16.9,card,ANON-0000-0000-0118,28.9,Americano
4/16/2024,42:04.2,card,ANON-0000-0000-0024,33.8,Americano with Milk
4/16/2024,43:23.0,card,ANON-0000-0000-0009,38.7,Cappuccino
4/16/2024,09:05.3,card,ANON-0000-0000-0050,38.7,Cocoa
4/17/2024,32:59.8,card,ANON-0000-0000-0012,28.9,Americano
4/17/2024,44:00.2,card,ANON-0000-0000-0119,24.0,Espresso
4/17/2024,13:24.3,cash,,40.0,Cappuccino
4/17/2024,01:35.1,card,ANON-0000-0000-0120,38.7,Cappuccino
4/17/2024,02:40.7,card,ANON-0000-0000-0120,38.7,Cappuccino
4/17/2024,14:03.2,card,ANON-0000-0000-0121,28.9,Cortado
4/18/2024,19:01.7,card,ANON-0000-0000-0003,28.9,Americano
4/18/2024,20:05.7,card,ANON-0000-0000-0003,28.9,Americano
4/18/2024,49:12.7,card,ANON-0000-0000-0122,33.8,Americano with Milk
4/18/2024,50:17.3,card,ANON-0000-0000-0122,28.9,Cortado
4/18/2024,34:19.8,card,ANON-0000-0000-0123,38.7,Cappuccino
4/18/2024,35:49.4,card,ANON-0000-0000-0123,38.7,Latte
4/18/2024,44:15.8,card,ANON-0000-0000-0069,38.7,Latte
4/18/2024,21:05.9,card,ANON-0000-0000-0085,38.7,Cappuccino
4/18/2024,39:51.2,card,ANON-0000-0000-0024,38.7,Hot Chocolate
4/18/2024,40:49.0,card,ANON-0000-0000-0009,38.7,Hot Chocolate
4/19/2024,10:36.3,card,ANON-0000-0000-0001,38.7,Latte
4/19/2024,11:47.8,card,ANON-0000-0000-0040,33.8,Americano with Milk
4/19/2024,13:20.9,card,ANON-0000-0000-0040,38.7,Cappuccino
4/19/2024,58:54.1,card,ANON-0000-0000-0124,38.7,Hot Chocolate
4/19/2024,59:49.7,card,ANON-0000-0000-0124,38.7,Cappuccino
4/19/2024,23:19.3,card,ANON-0000-0000-0024,38.7,Cocoa
4/19/2024,25:33.4,card,ANON-0000-0000-0009,33.8,Americano with Milk
4/20/2024,24:42.7,cash,,35.0,Americano with Milk
4/20/2024,08:35.7,card,ANON-0000-0000-0125,33.8,Americano with Milk
4/20/2024,09:42.7,card,ANON-0000-0000-0125,33.8,Americano with Milk
4/20/2024,08:37.4,card,ANON-0000-0000-0118,28.9,Americano
4/20/2024,09:47.9,card,ANON-0000-0000-0118,33.8,Americano with Milk
4/20/2024,10:55.2,card,ANON-0000-0000-0118,38.7,Hot Chocolate
4/20/2024,44:18.1,card,ANON-0000-0000-0040,38.7,Cappuccino
4/20/2024,11:00.3,card,ANON-0000-0000-0009,33.8,Americano with Milk
4/20/2024,22:40.7,card,ANON-0000-0000-0012,32.82,Americano with Milk
4/20/2024,49:25.1,card,ANON-0000-0000-0126,32.82,Americano with Milk
4/20/2024,07:58.0,cash,,39.0,Cocoa
4/20/2024,27:41.5,card,ANON-0000-0000-0127,37.72,Cappuccino
4/20/2024,28:46.9,card,ANON-0000-0000-0127,37.72,Cappuccino
4/20/2024,30:55.3,card,ANON-0000-0000-0128,37.72,Latte
4/21/2024,16:45.7,card,ANON-0000-0000-0001,37.72,Latte
4/21/2024,15:37.5,card,ANON-0000-0000-0099,27.92,Americano
4/21/2024,09:03.2,cash,,39.0,Cappuccino
4/22/2024,09:16.4,card,ANON-0000-0000-0012,27.92,Americano
4/22/2024,29:27.1,card,ANON-0000-0000-0129,32.82,Americano with Milk
4/22/2024,40:33.0,cash,,39.0,Latte
4/22/2024,39:04.8,card,ANON-0000-0000-0009,37.72,Latte
4/22/2024,02:29.2,cash,,39.0,Cappuccino
4/23/2024,22:36.0,card,ANON-0000-0000-0025,37.72,Cappuccino
4/23/2024,23:53.1,card,ANON-0000-0000-0024,32.82,Americano with Milk
4/23/2024,24:57.5,card,ANON-0000-0000-0009,37.72,Cappuccino
4/23/2024,42:27.8,card,ANON-0000-0000-0130,32.82,Americano with Milk
4/23/2024,43:26.2,card,ANON-0000-0000-0130,32.82,Americano with Milk
4/24/2024,19:38.3,card,ANON-0000-0000-0001,37.72,Latte
4/24/2024,21:27.3,card,ANON-0000-0000-0131,32.82,Americano with Milk
4/24/2024,23:46.1,card,ANON-0000-0000-0132,32.82,Americano with Milk
4/24/2024,33:26.3,card,ANON-0000-0000-0133,32.82,Americano with Milk
4/24/2024,39:09.3,card,ANON-0000-0000-0059,32.82,Americano with Milk
4/24/2024,39:07.4,card,ANON-0000-0000-0009,32.82,Americano with Milk
4/24/2024,39:50.0,card,ANON-0000-0000-0134,32.82,Americano with Milk
4/24/2024,40:54.0,card,ANON-0000-0000-0134,37.72,Cappuccino
4/25/2024,46:08.1,card,ANON-0000-0000-0135,27.92,Americano
4/25/2024,18:27.0,card,ANON-0000-0000-0009,37.72,Latte
4/25/2024,09:43.5,card,ANON-0000-0000-0012,27.92,Americano
4/25/2024,10:49.2,card,ANON-0000-0000-0012,27.92,Americano
4/26/2024,12:50.6,card,ANON-0000-0000-0001,37.72,Latte
4/26/2024,01:30.6,card,ANON-0000-0000-0136,37.72,Latte
4/26/2024,31:28.3,card,ANON-0000-0000-0137,37.72,Cappuccino
4/26/2024,32:35.4,card,ANON-0000-0000-0012,27.92,Americano
4/26/2024,33:33.1,card,ANON-0000-0000-0012,27.92,Americano
4/26/2024,23:26.5,card,ANON-0000-0000-0138,27.92,Cortado
4/26/2024,24:33.8,card,ANON-0000-0000-0139,27.92,Americano
4/26/2024,32:07.1,card,ANON-0000-0000-0009,37.72,Hot Chocolate
4/26/2024,33:30.2,card,ANON-0000-0000-0009,37.72,Cocoa
4/27/2024,27:00.7,card,ANON-0000-0000-0009,37.72,Cappuccino
4/28/2024,32:52.5,card,ANON-0000-0000-0001,37.72,Latte
4/28/2024,30:09.7,card,ANON-0000-0000-0140,37.72,Cappuccino
4/28/2024,27:08.2,card,ANON-0000-0000-0012,27.92,Americano
4/28/2024,28:11.4,card,ANON-0000-0000-0012,27.92,Americano
